Unnamed: 0,rmse,mean,median,std,min,max,sse
euroc_MH_01_easy_baseline_ape.zip,0.0463291550667901,0.0407945152709835,0.0371445020656649,0.0219590102920915,0.0062971772682983,0.0816154147995238,0.6954305573816719
euroc_MH_01_easy_clahe_ape.zip,0.0456609633478617,0.0413077809297679,0.0381952155169196,0.0194574101183346,0.0078059317105671,0.0840187345017571,0.7088740151106221
euroc_MH_01_easy_mertens_ape.zip,0.0438537817290038,0.0389239388037713,0.0357144785766579,0.0202010187845905,0.0007315164226495,0.0737137615852222,0.6519492642860036
euroc_MH_01_easy_proposed_ape.zip,0.0515251914373377,0.0477329711387077,0.0440330903557377,0.0194012581789324,0.0137747319664741,0.1000762401733758,1.0114960793612884
euroc_MH_01_easy_reinhard_ape.zip,0.044365733900592,0.0396601555681315,0.0412190519136457,0.0198844261885967,0.0015517116917391,0.0735708410333771,0.5078261328908418
euroc_MH_02_easy_baseline_ape.zip,0.0353442021359707,0.0313468846904754,0.0290072158208978,0.0163274445284738,0.0045931436405838,0.080521495255289,0.3285429202772578
euroc_MH_02_easy_clahe_ape.zip,0.037092224924626,0.0317242073716818,0.0257611098097693,0.0192199848204305,0.005475448847742,0.0938073197490428,0.4072466123582797
euroc_MH_02_easy_mertens_ape.zip,0.0373501988483745,0.0307972969432921,0.0249714503918794,0.0211320575193189,0.0036871084074453,0.2507099907691981,0.4240913556199879
euroc_MH_02_easy_proposed_ape.zip,0.032828851702145,0.0281365262563645,0.0230162733591773,0.0169135860865264,0.004401953804223,0.1476758373417065,0.3987613965101306
euroc_MH_02_easy_reinhard_ape.zip,0.043915582483523,0.0315709419166519,0.0280082080388255,0.0305262839428991,0.0029169769470897,0.4374905112699303,0.4975732232957152
euroc_MH_03_medium_baseline_ape.zip,0.0362833172352958,0.0327670823955053,0.028804296059116,0.0155819581851345,0.0078525647600759,0.0886167932350398,0.3567658387008191
euroc_MH_03_medium_clahe_ape.zip,0.0404192009254114,0.0373073975505766,0.0336241042234313,0.0155521667767553,0.0058707881636374,0.1057546332809122,0.4819449820173904
euroc_MH_03_medium_mertens_ape.zip,0.0386200295048949,0.0336252104255031,0.0337618260795808,0.0189961023054623,0.0026015038867588,0.089735845266451,0.6219582851258845
euroc_MH_03_medium_proposed_ape.zip,0.0360617833008589,0.0317431752473902,0.0288471882953056,0.0171120729326281,0.0060665820276298,0.0979008498437096,0.4200460653927097
euroc_MH_03_medium_reinhard_ape.zip,0.036769119495798,0.0318591531302235,0.0289698561565932,0.0183565386258206,0.0020449951640414,0.1074549416359872,0.2879692156297073
euroc_MH_04_difficult_baseline_ape.zip,0.6017380784449111,0.445254602384261,0.2812756900182151,0.4047679015265509,0.0124478083244367,1.5900599545178355,103.19528378941357
euroc_MH_04_difficult_clahe_ape.zip,0.0567955247276477,0.0510220049346209,0.0472447451465827,0.0249496821931735,0.0024502866440301,0.1418082042183467,1.0257826580502536
euroc_MH_04_difficult_mertens_ape.zip,0.057022771476008,0.0501129659246373,0.0466520242815086,0.0272082177483416,0.0083758476540168,0.1705705407636361,1.0014917117759508
euroc_MH_04_difficult_proposed_ape.zip,0.1928411830813559,0.1751587615232574,0.1553382076740307,0.0806667847001208,0.0248484969806254,0.3821653690699356,11.49100606469506
euroc_MH_04_difficult_reinhard_ape.zip,0.1009031929039851,0.0925161797594005,0.0873463130824248,0.0402766783752722,0.0268055361626192,0.220123404522233,2.922077395068805
euroc_MH_05_difficult_baseline_ape.zip,0.2681637944758722,0.224101506356542,0.199645259725716,0.1472763915786456,0.0495899145420771,0.6272968845120298,22.939870792995613
euroc_MH_05_difficult_clahe_ape.zip,0.0548056083595387,0.0500300713599544,0.0460128284523055,0.0223751350247773,0.0062850456011173,0.1259451579296845,0.9401439234973128
euroc_MH_05_difficult_mertens_ape.zip,0.117410234177592,0.1047046272981549,0.0937865299787724,0.0531234798558177,0.0198871964096329,0.2641343252481721,5.913834965454274
euroc_MH_05_difficult_proposed_ape.zip,0.0647372227442113,0.0580719261640664,0.0516914022330125,0.0286104771059284,0.0076718691364905,0.1434691742318969,1.5925450432807824
euroc_MH_05_difficult_reinhard_ape.zip,0.0639136819311551,0.0562152053260853,0.0521163809681224,0.0304106795080763,0.0040583606345559,0.1459027735566305,1.1887229927570888
euroc_V1_01_easy_baseline_ape.zip,0.0956104915403984,0.0928823734906331,0.0918952231126921,0.0226766573229642,0.0353975874909939,0.1434240976536909,2.093372835204624
euroc_V1_01_easy_clahe_ape.zip,0.09276980142338,0.0889600790356738,0.0873046795773211,0.0263123620015388,0.0403304460118069,0.1391857993428517,3.3822507700604105
euroc_V1_01_easy_mertens_ape.zip,0.095039550768527,0.0924036346851317,0.0905385556371492,0.02222801177029,0.0440452980991172,0.1396933126605946,2.167803890468025
euroc_V1_01_easy_proposed_ape.zip,0.093041072204266,0.0894684911284964,0.0886393084504866,0.0255348822615181,0.0349563672574106,0.1467859636715327,3.202957213260196
euroc_V1_01_easy_reinhard_ape.zip,0.0985092546708505,0.0950009551503362,0.0918590418277225,0.0260555517372075,0.0363614814346693,0.190500896260776,2.04755945697517
euroc_V1_02_medium_baseline_ape.zip,0.0754329868406258,0.0597649290284451,0.0549098645972354,0.0460248711233713,0.0127709614615137,0.6350269385206246,1.263210081820962
euroc_V1_02_medium_clahe_ape.zip,0.0640761463291054,0.0622627286945133,0.0603519807042247,0.0151362196040609,0.0217767723923188,0.1321439850401985,1.371321344481905
euroc_V1_02_medium_mertens_ape.zip,0.064686848012598,0.0624618320016199,0.0625242304477728,0.0168198647083254,0.0227171784495221,0.1081197080552799,1.2427633268240743
euroc_V1_02_medium_proposed_ape.zip,0.0617279288169883,0.058779217538153,0.0563901264933512,0.0188504849178387,0.0200659548021729,0.1026870465915543,0.8878085666761979
euroc_V1_02_medium_reinhard_ape.zip,0.061246114718382,0.0576576983466242,0.0596610039536967,0.0206561465299529,0.0101764855020086,0.1125460004260118,0.7802260061642192
euroc_V1_03_difficult_baseline_ape.zip,0.0904665306941272,0.0840910820162402,0.0830301705895657,0.0333599025953226,0.0088312652428956,0.2577600576734151,2.447073759573608
euroc_V1_03_difficult_clahe_ape.zip,0.1891971814818342,0.1108347529318735,0.0822059849506827,0.1533337243505181,0.0306759790384499,1.330679764403859,13.8886825105
euroc_V1_03_difficult_mertens_ape.zip,0.3184633029260709,0.2911249178847826,0.2999692785270483,0.1290935997528964,0.032005628985048,0.6051092332802904,49.79666777749597
euroc_V1_03_difficult_proposed_ape.zip,0.4629957860505012,0.3548714198145227,0.2670119084755218,0.2973741301783769,0.0089046888823608,2.319926901054869,66.02445015336062
euroc_V1_03_difficult_reinhard_ape.zip,0.0637106045737045,0.0599089970986862,0.0572942022587767,0.0216784040412697,0.0191008596622667,0.111024901412918,1.039114530597616
euroc_V2_01_easy_baseline_ape.zip,0.0637551125647262,0.0602362752725764,0.0633244774082508,0.0208879276001068,0.0037796737272422,0.1056019351289117,0.971466736375679
euroc_V2_01_easy_clahe_ape.zip,0.0576498514991724,0.0510412836411651,0.0511813896160239,0.0268009839770624,0.0040977570891259,0.1117056466029423,1.2695790543488736
euroc_V2_01_easy_mertens_ape.zip,0.0559178229281953,0.0504741807674763,0.0480002181692209,0.0240657432231196,0.0032819670711497,0.1028903363619573,0.847363591598862
euroc_V2_01_easy_proposed_ape.zip,0.3760321987719666,0.3309631509262192,0.2747222160718285,0.1785038017585855,0.0517069341803371,0.7888471343961706,41.854463495930815
euroc_V2_01_easy_reinhard_ape.zip,0.0633246815512683,0.0591214519004195,0.0649547200338108,0.0226863222836124,0.0087344551146586,0.1025411157307925,0.8461132269431753
euroc_V2_02_medium_baseline_ape.zip,0.0805258313250255,0.0767409724105492,0.0787339591171703,0.0243973905176308,0.0148578275384112,0.128826619774648,1.77672820590069
euroc_V2_02_medium_clahe_ape.zip,0.0584892193194247,0.0559613961252865,0.0580083313334248,0.0170091422565788,0.0107064742179342,0.0991636658577268,1.611285713776609
euroc_V2_02_medium_mertens_ape.zip,0.0589168872394726,0.0557587774648819,0.0577468898172369,0.0190304581555595,0.0164589739280695,0.1034780781593522,1.336411846765661
euroc_V2_02_medium_proposed_ape.zip,0.0671375857060097,0.0593558393309227,0.0539206369693289,0.0313741892604971,0.0098878495573742,0.1820491831526012,1.39731117847386
euroc_V2_02_medium_reinhard_ape.zip,0.0559077673104208,0.0527460151393925,0.0522951220390478,0.0185347331394638,0.0171974876824251,0.099925851468141,0.6907749364855922
euroc_V2_03_difficult_baseline_ape.zip,0.361868661722515,0.2583235597949286,0.169914217347002,0.2534124440348578,0.0241843177849539,1.2575231557080224,40.07037207107426
euroc_V2_03_difficult_clahe_ape.zip,0.5850876338107872,0.5033092849811015,0.4347762259708343,0.2983409172241014,0.0313286826062506,1.2546840783586566,151.99342742180778
euroc_V2_03_difficult_mertens_ape.zip,0.6492963987632674,0.4111298817961193,0.2461700162688095,0.5025515234692429,0.0202344336452729,3.3007682198585764,196.88057487972472
euroc_V2_03_difficult_proposed_ape.zip,0.1323709852644916,0.1064484208574175,0.0864044163518251,0.0786817096716535,0.0257391111759744,0.6679844383105711,5.887418120603798
euroc_V2_03_difficult_reinhard_ape.zip,0.5699751614562817,0.386507430620094,0.2855963864615046,0.4189077353696964,0.0348145013415702,2.689544987817003,154.96379359098358
